SHEF_B,First Report,Reported Before
Abandoned Vehicles,4519,7204
Bridge/Culvert Defects,60,65
Bus Stops Damage,352,413
Dangerous Building/Structure,54,68
Dog Fouling,2188,3312
Environmental Health,149,299
Fences,20,14
Gritting,24,45
Grounds Maintenance,122,192
Open Spaces/Parks,1640,1495
Other,9722,11386
Parking,4029,6778
Pavement /Footway Defects,8955,10379
Property Damage,13,12
Public Toilets,53,65
Retaining Wall,6,3
Right of Way,1538,1630
Road Safety,3989,3906
Road Surface Defects,27704,31255
Rubbish,21204,16451
Street Furniture,1406,1265
Street Lights,13385,14795
Utility Works,43,51
