SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,365.0,261.0,212.0,194.0,179.0,155.0,133.0,138.0,97.0,69.0
Bus Stops Damage,144.0,104.0,83.0,58.0,66.0,53.0,53.0,52.0,21.0,27.0
Dog Fouling,877.0,421.0,296.0,265.0,238.0,247.0,283.0,215.0,257.0,213.0
Highways Enquiries,1667.0,1127.0,1121.0,1033.0,1093.0,1274.0,1148.0,1187.0,948.0,854.0
Incivilities,250.0,192.0,219.0,130.0,128.0,131.0,83.0,66.0,58.0,53.0
Open Spaces/Parks,185.0,173.0,158.0,164.0,188.0,132.0,112.0,186.0,132.0,67.0
Other,1072.0,778.0,758.0,603.0,723.0,605.0,540.0,627.0,491.0,415.0
Overgrown/Fallen Veg/Trees,122.0,115.0,117.0,110.0,137.0,154.0,124.0,111.0,114.0,106.0
Parking,454.0,325.0,377.0,316.0,245.0,239.0,212.0,175.0,131.0,77.0
Pavement /Footway Defects,1164.0,719.0,710.0,570.0,619.0,627.0,531.0,484.0,520.0,406.0
Public Toilets,20.0,2.0,7.0,10.0,9.0,3.0,5.0,2.0,3.0,2.0
Road Safety,1002.0,513.0,398.0,361.0,348.0,380.0,331.0,259.0,307.0,175.0
Road Surface Defects,4534.0,3333.0,2788.0,2677.0,2656.0,3743.0,3223.0,3739.0,3458.0,2500.0
Rubbish,2371.0,2152.0,2213.0,1440.0,1155.0,1023.0,741.0,716.0,597.0,284.0
Street Furniture,50.0,38.0,30.0,33.0,38.0,50.0,39.0,44.0,43.0,30.0
Street Lights,1801.0,1199.0,1095.0,1115.0,1090.0,1235.0,1010.0,1195.0,976.0,948.0
