SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,179.0,195.0,242.0,245.0,195.0,191.0,149.0,130.0,149.0,128.0
Bus Stops Damage,54.0,60.0,72.0,71.0,75.0,49.0,47.0,72.0,102.0,59.0
Dog Fouling,465.0,418.0,284.0,279.0,537.0,286.0,290.0,244.0,303.0,206.0
Fallen/Dangerous Trees,79.0,75.0,106.0,114.0,126.0,127.0,148.0,138.0,140.0,157.0
Fly-tipping,556.0,577.0,468.0,817.0,624.0,573.0,636.0,717.0,423.0,349.0
Flyposting,9.0,12.0,12.0,8.0,21.0,11.0,13.0,29.0,9.0,10.0
Graffiti,87.0,109.0,94.0,120.0,117.0,143.0,106.0,133.0,125.0,142.0
Highway Condition,675.0,723.0,748.0,1078.0,971.0,1195.0,1495.0,1611.0,1330.0,1626.0
Open Spaces/Parks,133.0,114.0,161.0,217.0,170.0,141.0,132.0,123.0,137.0,169.0
Other,619.0,531.0,632.0,749.0,735.0,634.0,718.0,687.0,674.0,633.0
Parking,260.0,271.0,292.0,331.0,259.0,259.0,297.0,222.0,198.0,162.0
Pavement /Footway Defects,494.0,465.0,555.0,632.0,595.0,647.0,747.0,767.0,686.0,762.0
Potholes,2293.0,2257.0,2074.0,2814.0,2520.0,3223.0,4854.0,4411.0,3800.0,4405.0
Public Toilets,9.0,,4.0,10.0,6.0,11.0,14.0,2.0,1.0,6.0
Rubbish,427.0,379.0,407.0,533.0,600.0,406.0,480.0,755.0,427.0,394.0
Street Cleaning,196.0,175.0,253.0,287.0,164.0,238.0,204.0,248.0,169.0,210.0
Street Lights,919.0,915.0,889.0,1091.0,1080.0,1317.0,1329.0,1301.0,1321.0,1502.0
Street Name Plates,22.0,34.0,36.0,37.0,49.0,46.0,41.0,43.0,48.0,39.0
Street Signs,115.0,105.0,135.0,208.0,199.0,263.0,350.0,338.0,310.0,316.0
Traffic Lights,143.0,130.0,119.0,184.0,141.0,203.0,218.0,225.0,157.0,215.0
