SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,107.0,76.0,95.0,98.0,103.0,92.0,92.0,89.0,85.0,65.0
Bus Stops Damage,47.0,31.0,27.0,22.0,20.0,18.0,22.0,24.0,27.0,42.0
Dog Fouling,192.0,125.0,180.0,239.0,226.0,138.0,146.0,160.0,115.0,136.0
Highways Enquiries,766.0,508.0,579.0,481.0,498.0,749.0,690.0,445.0,512.0,414.0
Incivilities,275.0,168.0,141.0,86.0,70.0,58.0,51.0,32.0,35.0,43.0
Open Spaces/Parks,276.0,150.0,166.0,95.0,80.0,102.0,87.0,64.0,58.0,76.0
Other,755.0,427.0,415.0,324.0,336.0,362.0,413.0,288.0,278.0,306.0
Overgrown/Fallen Veg/Trees,151.0,147.0,188.0,107.0,103.0,140.0,149.0,138.0,105.0,151.0
Parking,529.0,335.0,251.0,149.0,193.0,187.0,217.0,176.0,170.0,175.0
Pavement /Footway Defects,646.0,473.0,480.0,343.0,350.0,415.0,392.0,344.0,285.0,311.0
Public Toilets,2.0,1.0,4.0,4.0,13.0,2.0,5.0,3.0,8.0,7.0
Road Safety,249.0,183.0,153.0,139.0,131.0,159.0,141.0,99.0,127.0,99.0
Road Surface Defects,1362.0,1100.0,1115.0,800.0,885.0,1229.0,1354.0,890.0,920.0,820.0
Rubbish,4567.0,1301.0,1180.0,802.0,1053.0,852.0,1074.0,529.0,604.0,537.0
Street Furniture,36.0,26.0,35.0,21.0,21.0,28.0,26.0,21.0,10.0,40.0
Street Lights,702.0,661.0,785.0,578.0,528.0,693.0,728.0,520.0,486.0,467.0
